505,40,557,98
449,40,502,97
392,40,447,97
337,38,381,96
281,40,337,96
226,38,281,96
170,37,226,96
113,36,171,94
502,97,555,152
447,97,500,152
381,96,445,152
337,96,390,152
281,96,337,150
226,96,282,150
171,94,227,150
116,93,173,148
500,152,552,205
445,152,498,205
390,152,443,205
337,150,389,205
282,150,336,203
227,150,281,203
173,148,228,203
118,48,173,203
498,205,549,259
443,205,495,258
389,203,441,258
336,203,387,258
281,203,334,257
228,203,281,257
173,203,229,257
119,203,175,257
495,258,547,311
441,258,494,311
387,258,440,311
334,257,387,310
281,257,334,310
229,257,281,309
175,257,229,309
121,257,175,309
494,311,545,362
440,311,491,362
387,310,438,361
334,310,386,361
281,309,333,360
229,309,281,360
175,309,229,360
121,308,176,360
491,362,543,413
438,361,490,413
386,361,438,412
333,360,385,412
281,360,333,411
229,360,281,411
176,360,229,411
122,360,176,411
490,413,541,466
438,412,488,464
385,412,436,464
333,411,384,463
281,411,332,463
229,411,280,463
176,411,228,463
124,410,177,463
